userName;rating;tanggal;ulasan;Keterangan
FARIZ44;3;29/02/2024 11:49;ini entah bug atau memang renderingnya yang bermasalah, ini bukan patah2 lagi, bahkan sampe force close terus menerus, prasaan saya main minecraft genshin impac dan game2 berat lainnya lancar2 saja, masa main game ini yang hanya sekitar 2-3 GB saja kaya berat banget.;Negatif
Febrian Pratama;3;01/03/2024 06:26;Game sampah bug dimana-mana untuk handphone dari blackskren terus stuk chat NPC quest. Mending tutup dulu dan benerin. Semakin lama main semakin banyak ketemu bug. 1 bulan gak dibenahin dalam waktu 3 bulan setelah OBT yakin bakal clossing.;Negatif
Friskila Visi Pangelah;3;02/03/2024 12:35;Setelah update sering ngefreeze berkali kali kalau lagi battle mohon mungkin bisa ada solusinya atau perbaikannya;Negatif
Gracio Kiryoma;3;07/03/2024 14:52;Bagus game nya tapi ini masalahnya nih di update data nya ulang ulang, tadi udah bisa main tapi di pindah kan ke update data mulu gk abis abis;Negatif
Ferize;3;11/03/2024 22:01;Gameplay mulai terasa membosankan, saya suka dengan ceritanya & bersemangat untuk memainkannya, tetapi tidak berlangsung lama, setelah semua cerita selesai game ini terasa membosankan, yang ada hanya farming farming dan farming...;Negatif
No NAME;3;12/03/2024 10:56;Frame drop pas awal masuk di animasi luar angkasanya + tambahin fitur skip dialog kek game2 lain nungguin dialog selesai karena ngebug gak bisa dipercepat;Negatif
Muhammad Nur adnan;3;13/03/2024 10:05;Aku cukup suka dan alurnya juga bagus tapi terlalu banyak loadingnya setiap satu kali serang musuh selalu loading terus terusan bahkan sudah bertarung sekalipun loading lagi,harusnya langsung aja bertarung tanpa loading karena itu membuang buang waktu aja, juga dari semua hero, ada hero yang gak bisa jalan dan tegak saja seperti mematung aja bahkan di kontrol sekalipun gak berfungsi, aku jadi benci jika begitu caramu menciptakan game ini jika ada bugnya jadi gak seru lagi deh😑😑😑;Negatif
Akun kedua Grisa2312;3;14/03/2024 23:04;Game nya ga ngebosenin, tapi tingkat buat dapetin bintang 5 nya bisa dinaikin ga min? Saya capek ngumpulin Stellar nya eh dapetnya bintang 4 mulu, bintang 5 nya dapet yg standar, tolong ya min, gw bener bener minta tolong.;Netral
ONEL DARK;3;17/03/2024 07:22;Tolong kenapa ya saya sudah bermain 1 Minggu sudah di penochia tapi pas menyelesaikan tugas hanu malah berhenti kaya loading screen nya stop pas relog eh gak bisa masuk layar hitam;Negatif
Mei Dika;3;20/03/2024 11:49;Bang kenapa yaa ini bug, map-nya GK ada susah lihat jalannya,harus kah aku main pake ultra insting?. Tolong ya di perbaiki bugnya😁😁;Negatif
